STATE,AMB_USERS,AMB_RATE,AMB_EVENTS_PER_K,READMITS,READMIT_RATE,ER_VISITS,ER_VISITS_PER_K
AK,1563,0.13,328,459,0.18,12430,1040
AL,18892,0.12,460,8908,0.20,167624,1074
AR,11251,0.12,315,5651,0.21,100739,1031
AZ,8347,0.12,293,4355,0.22,66426,959
CA,58167,0.13,617,27879,0.23,432799,962
CO,8276,0.12,356,3441,0.20,78812,1127
CT,11848,0.19,780,4573,0.24,84314,1330
DC,2724,0.21,588,1633,0.28,22265,1682
DE,3487,0.15,680,1722,0.22,26782,1158
FL,39732,0.13,437,31114,0.26,345053,1127
GA,26574,0.14,1030,13176,0.23,230762,1212
HI,1110,0.09,237,599,0.22,11246,927
IA,6637,0.10,239,3710,0.20,76847,1161
ID,3002,0.10,220,1129,0.17,31857,1042
IL,25594,0.12,483,16569,0.24,220701,1070
IN,19292,0.12,617,10928,0.21,196571,1243
KS,7396,0.12,296,3819,0.20,73712,1171
KY,21621,0.13,501,9901,0.21,184308,1142
LA,16171,0.13,462,7703,0.22,155685,1280
MA,26863,0.17,718,10180,0.23,188553,1187
MD,14393,0.13,410,11186,0.26,145285,1317
ME,4962,0.10,361,2165,0.19,60354,1158
MI,31433,0.11,463,20068,0.23,326057,1190
MN,9025,0.09,229,6070,0.22,108350,1096
MO,19739,0.12,345,11259,0.22,183516,1149
MS,11800,0.11,331,6974,0.21,141948,1294
MT,2214,0.10,206,848,0.17,21113,929
NC,34926,0.14,558,15808,0.22,308616,1277
ND,1223,0.09,226,538,0.18,13130,1016
NE,3912,0.12,272,2129,0.21,34950,1029
NH,5163,0.13,362,1714,0.20,44322,1099
NJ,17789,0.12,1302,11963,0.24,161533,1047
NM,5129,0.12,283,1824,0.19,39834,901
NV,6217,0.15,450,2747,0.22,45640,1103
NY,43048,0.13,468,21693,0.24,321873,939
OH,40267,0.16,699,18620,0.23,338648,1331
OK,12359,0.12,327,5842,0.19,122811,1209
OR,7557,0.11,264,2614,0.18,62999,939
PA,31817,0.13,583,16666,0.22,263513,1041
PR,759,0.06,664,706,0.22,7725,609
RI,4392,0.16,803,1727,0.23,31646,1170
SC,16007,0.14,1224,7066,0.21,137628,1171
SD,1737,0.11,271,851,0.19,13298,817
TN,19839,0.13,655,9945,0.22,174480,1169
TX,46978,0.12,652,28246,0.23,441234,1161
UT,2921,0.10,258,1088,0.17,28355,971
VA,18420,0.13,677,9579,0.23,161865,1183
VI,107,0.07,166,67,0.22,1280,785
VT,1537,0.07,370,692,0.18,22194,1077
WA,15864,0.13,348,5607,0.20,125601,1028
WI,13774,0.12,330,6553,0.21,124275,1065
WV,11236,0.15,666,4305,0.21,86101,1142
WY,981,0.08,197,490,0.17,12165,1042